"","logFC","logCPM","PValue","FDR"
"YDL173W",0.853988440192685,7.79578070568725,7.15823039781188e-41,1.67412052426296e-39
"YIR037W",0.937698371188335,7.48837882185777,8.03278426251303e-41,1.87125923154684e-39
"YOL105C",1.31952563533189,6.87052507989096,1.01802144599359e-40,2.3622089788016e-39
"YKL163W",-2.11430297823995,5.04155190769094,1.03590521479285e-40,2.39431685778488e-39
"YOR348C",2.43431427017134,5.32927692551804,1.04265610386168e-40,2.40054325546677e-39
"YDR210C-C",8.90917687741623,5.07501847608347,2.51992576523918e-40,5.77922509803109e-39
"YMR280C",1.49395006492657,6.43689722270456,3.38335695625657e-40,7.72946838230506e-39
"YDL007W",0.600532575883009,8.63974768247387,5.12380115080942e-40,1.16605890035921e-38
"YGL028C",-1.28889998174039,6.26788545343146,7.41889919196803e-40,1.68190139919061e-38
"YJR016C",-0.479383294014791,9.59720328202068,1.12068718971957e-39,2.53095652731706e-38
"YLR150W",-0.275154326013787,10.9041127076284,1.49809557119683e-39,3.37043022614891e-38
"YGL080W",1.49826605743398,6.35244674934596,1.84237675969045e-39,4.12929669965469e-38
"YDR365W-A",8.8595139746792,4.94764134850795,1.93351906978387e-39,4.26889266265342e-38
"YER137C-A",8.8595139746792,4.94764134850795,1.93351906978387e-39,4.26889266265342e-38
"YLR157C-A",8.8595139746792,4.94764134850795,1.93351906978387e-39,4.26889266265342e-38
"YPL257W-A",8.8595139746792,4.94764134850795,1.93351906978387e-39,4.26889266265342e-38
"YDR134C",-0.465703381028416,9.34246911570039,3.04218105660573e-39,6.68820901511781e-38
"YEL002C",0.799411080993875,7.83519744681268,3.05191217522699e-39,6.68820901511781e-38
"YPR148C",0.86852724008879,7.68190699793222,3.06938277986165e-39,6.70167450495991e-38
"YER004W",0.80501775369849,7.92166895406612,4.09275272185147e-39,8.90324185852762e-38
"YLL023C",0.910410758936699,7.51701256472351,4.32227513576809e-39,9.36809596276183e-38
"YPL015C",1.12519120745856,7.08132262493704,4.78161785326907e-39,1.03258514006544e-37
"YGR243W",1.31890682543712,6.80412210896318,5.1460035529546e-39,1.1072328371939e-37
"YOR142W",0.707200881559205,8.14171964878598,6.08758034755537e-39,1.30508017813352e-37
"YGR155W",-0.51927821668396,8.83321257807954,7.65058792094879e-39,1.6342429143774e-37
"YER063W",1.13393942444131,7.11971443545136,8.39357967980328e-39,1.78650399156101e-37
"YOR298C-A",-0.597658429176367,8.41366429077834,9.91301870286101e-39,2.10234163673221e-37
"YOR197W",-0.688393305429015,7.98769158133514,1.30400581807786e-38,2.75564372341667e-37
